City,Average Cost for Two,Has Table Booking,Has Online Delivery,Is Delivering Now,Price Range,Aggregate Rating,Votes,Aggregate Rating/Average Cost for Two,Longitude_Of_City,Latitude_Of_City
Agra,850,No,No,No,3,3.9,140,0.07,27.1767,78.0081
Agra,700,No,No,No,2,3.5,71,0.026250000000000002,27.1767,78.0081
Agra,500,No,No,No,2,3.6,94,0.02923076923076923,27.1767,78.0081
Agra,400,No,No,No,2,4.0,87,0.0156,27.1767,78.0081
Agra,1000,No,No,No,3,4.2,177,0.08,27.1767,78.0081
Agra,2000,No,No,No,4,4.0,45,0.016399999999999998,27.1767,78.0081
Agra,2500,No,No,No,4,4.3,133,0.03,27.1767,78.0081
Agra,2500,No,No,No,4,4.0,41,0.076,27.1767,78.0081
Agra,800,No,No,No,3,3.6,59,0.038181818181818185,27.1767,78.0081
Agra,3600,No,No,No,4,3.8,46,0.004588235294117647,27.1767,78.0081
Agra,0,No,No,No,1,3.9,103,0.005,27.1767,78.0081
Agra,550,No,No,No,2,4.1,121,0.0072,27.1767,78.0081
Agra,1100,No,No,No,3,3.4,70,0.01,27.1767,78.0081
Agra,0,No,No,No,1,4.9,77,0.004200000000000001,27.1767,78.0081
Agra,1500,No,No,No,4,3.8,57,0.002,27.1767,78.0081
Agra,0,No,No,No,1,3.9,98,0.00172,27.1767,78.0081
Agra,900,No,No,No,3,3.7,175,0.0016,27.1767,78.0081
Agra,700,No,No,No,2,4.4,134,0.0045000000000000005,27.1767,78.0081
Agra,1000,No,No,No,3,4.2,166,0.0010555555555555555,27.1767,78.0081
Agra,700,No,No,No,2,4.1,168,inf,27.1767,78.0081
Ahmedabad,900,No,No,No,3,4.2,1582,0.007454545454545454,23.0225,72.571
Ahmedabad,1800,No,No,No,4,3.7,1315,0.0030909090909090908,23.0225,72.571
Ahmedabad,300,No,Yes,No,1,4.5,217,inf,23.0225,72.571
Ahmedabad,800,No,No,No,3,4.1,769,0.002533333333333333,23.0225,72.571
Ahmedabad,900,No,Yes,No,3,4.3,731,inf,23.0225,72.571
Ahmedabad,500,No,Yes,No,2,4.4,113,0.004111111111111111,23.0225,72.571
Ahmedabad,1000,No,Yes,No,3,4.4,944,0.006285714285714286,23.0225,72.571
Ahmedabad,1000,No,Yes,No,3,3.8,63,0.004200000000000001,23.0225,72.571
Ahmedabad,1400,No,No,No,3,3.6,375,0.005857142857142857,23.0225,72.571
Ahmedabad,350,No,No,No,2,4.6,166,0.004666666666666667,23.0225,72.571
Ahmedabad,450,No,No,No,2,4.4,697,0.0020555555555555557,23.0225,72.571
Ahmedabad,900,No,No,No,3,4.3,325,0.015,23.0225,72.571
Ahmedabad,600,No,Yes,No,2,3.8,432,0.005124999999999999,23.0225,72.571
Ahmedabad,700,No,Yes,No,2,4.3,744,0.0047777777777777775,23.0225,72.571
Ahmedabad,700,No,Yes,No,2,4.0,404,0.0088,23.0225,72.571
Ahmedabad,600,No,Yes,No,2,4.4,317,0.0044,23.0225,72.571
Ahmedabad,950,No,Yes,No,3,4.5,1138,0.0038,23.0225,72.571
Ahmedabad,1200,No,No,No,3,4.1,1041,0.0025714285714285713,23.0225,72.571
Ahmedabad,1200,No,No,No,3,4.1,192,0.013142857142857142,23.0225,72.571
Ahmedabad,550,No,Yes,No,2,3.9,166,0.00977777777777778,23.0225,72.571
Ahmedabad,1200,No,No,No,3,4.0,535,0.0047777777777777775,23.0225,72.571
Allahabad,500,No,No,No,3,3.4,57,0.006333333333333333,25.4358,81.8463
Allahabad,350,No,No,No,2,3.3,76,0.006142857142857143,25.4358,81.8463
Allahabad,500,No,No,No,3,3.2,51,0.005714285714285714,25.4358,81.8463
Allahabad,600,No,No,No,3,3.4,99,0.007333333333333334,25.4358,81.8463
Allahabad,600,No,No,No,3,3.4,83,0.004736842105263158,25.4358,81.8463
Allahabad,600,No,No,No,3,3.4,18,0.0034166666666666664,25.4358,81.8463
Allahabad,500,No,No,No,3,3.4,58,0.0034166666666666664,25.4358,81.8463
Allahabad,400,No,No,No,2,3.3,53,0.00709090909090909,25.4358,81.8463
Allahabad,800,No,No,No,3,3.2,6,0.0033333333333333335,25.4358,81.8463
Allahabad,700,No,No,No,3,3.4,35,0.0068,25.4358,81.8463
Allahabad,400,No,No,No,2,3.4,32,0.009428571428571429,25.4358,81.8463
Allahabad,500,No,No,No,3,3.2,151,0.0064,25.4358,81.8463
Allahabad,0,No,No,No,1,3.3,49,0.005666666666666666,25.4358,81.8463
Allahabad,500,No,No,No,3,3.4,106,0.005666666666666666,25.4358,81.8463
Allahabad,1000,No,No,No,4,3.6,59,0.005666666666666666,25.4358,81.8463
Allahabad,200,No,No,No,1,3.7,105,0.0068,25.4358,81.8463
Allahabad,500,No,No,No,3,3.5,105,0.00825,25.4358,81.8463
Allahabad,500,No,No,No,3,3.6,57,0.004,25.4358,81.8463
Allahabad,400,No,No,No,2,3.5,134,0.004857142857142857,25.4358,81.8463
Allahabad,800,No,No,No,3,3.3,58,0.0085,25.4358,81.8463
Amritsar,700,No,No,No,2,3.4,345,0.0064,31.634,74.8723
Amritsar,300,No,No,No,1,3.9,151,inf,31.634,74.8723
