,Cuisines,# of Occurences,Average Cost for two,Currency,Price range,Aggregate rating,Average exchange rate,Average_Cost_for_Two_USD
0,North Indian,936,500,INR,2,3.6,56.041930148067266,8.921891138991109
1,North Indian,936,200,INR,1,3.7,56.041930148067266,3.5687564555964433
2,North Indian,936,300,INR,1,3.9,56.041930148067266,5.353134683394665
3,North Indian,936,300,INR,1,3.5,56.041930148067266,5.353134683394665
4,North Indian,936,500,INR,2,3.8,56.041930148067266,8.921891138991109
5,North Indian,936,400,INR,2,3.8,56.041930148067266,7.1375129111928866
6,North Indian,936,500,INR,2,4.1,56.041930148067266,8.921891138991109
7,North Indian,936,500,INR,2,3.8,56.041930148067266,8.921891138991109
8,North Indian,936,1000,INR,3,3.5,56.041930148067266,17.843782277982218
9,North Indian,936,500,INR,2,3.4,56.041930148067266,8.921891138991109
10,North Indian,936,450,INR,2,3.7,56.041930148067266,8.029702025091998
11,North Indian,936,1800,INR,4,4.3,56.041930148067266,32.11880810036799
12,North Indian,936,700,INR,2,3.8,56.041930148067266,12.490647594587552
13,North Indian,936,1200,INR,3,4.6,56.041930148067266,21.41253873357866
14,North Indian,936,1500,INR,4,4.9,56.041930148067266,26.765673416973325
15,North Indian,936,150,INR,1,2.8,56.041930148067266,2.6765673416973326
16,North Indian,936,150,INR,1,2.9,56.041930148067266,2.6765673416973326
17,North Indian,936,1600,INR,3,4.0,56.041930148067266,28.550051644771546
18,North Indian,936,450,INR,1,3.1,56.041930148067266,8.029702025091998
19,North Indian,936,400,INR,1,3.6,56.041930148067266,7.1375129111928866
20,North Indian,936,400,INR,1,2.9,56.041930148067266,7.1375129111928866
21,North Indian,936,400,INR,1,3.1,56.041930148067266,7.1375129111928866
22,North Indian,936,250,INR,1,3.4,56.041930148067266,4.460945569495554
23,North Indian,936,300,INR,1,3.1,56.041930148067266,5.353134683394665
24,North Indian,936,400,INR,1,2.7,56.041930148067266,7.1375129111928866
25,North Indian,936,500,INR,2,2.7,56.041930148067266,8.921891138991109
26,North Indian,936,450,INR,1,2.9,56.041930148067266,8.029702025091998
27,North Indian,936,300,INR,1,3.1,56.041930148067266,5.353134683394665
28,North Indian,936,150,INR,1,2.8,56.041930148067266,2.6765673416973326
29,North Indian,936,300,INR,1,3.6,56.041930148067266,5.353134683394665
30,North Indian,936,1400,INR,3,3.9,56.041930148067266,24.981295189175103
31,North Indian,936,1100,INR,3,3.6,56.041930148067266,19.62816050578044
32,North Indian,936,2000,INR,4,4.0,56.041930148067266,35.687564555964435
